0x1FC1D2E30000	"FRRECSPN"
0x1FC1D2E315BE	"要在学习步骤期间防止故障，请在接下来的6 – 8秒内不要移动。"
0x1FC1D2E315BF	"CVT ECU已拒绝学习步骤。"
0x1FC1D2E315C0	"学习（%s）"
0x1FC1D2E315C1	"在学习步骤期间，请勿移动。\n在发动机关闭和点火开关打开时保持在换档档位“P”。"
0x1FC1D2E315C2	"时间超出"
0x1FC1D2E315C3	"倾斜传感器初始学习步骤"
0x1FC1D2E315C4	"通过驾驶车辆校正倾斜学习步骤。"
0x1FC1D2E315C5	"只有在车辆已完成其自动学习步骤之后，才可运行该校正步骤。\n因此当前无法使用该校正步骤。\n\n在这种情况下，无需该校正。"
0x1FC1D2E315C6	"测试条件"
0x1FC1D2E315C7	"1. 车辆在水平地面上。"
0x1FC1D2E315C8	"2.轮胎压力正常。"
0x1FC1D2E315C9	"3.车内温度在%s和%s之间。"
0x1FC1D2E315CA	"深圳富士伟业本田智能诊断程序无法监控这些状况。\n\n您是否要继续学习步骤？"
0x1FC1D2E315CB	"如果在斜坡上进行该学习步骤，则在调转车辆后必须重复该步骤。"
0x1FC1D2E315CC	"如果在平地上进行该学习步骤，则只需要执行一次。"
0x1FC1D2E315CD	"您是否想要执行两次学习步骤？"
0x1FC1D2E315CE	"要准备第二次学习步骤，请标记轮胎位置。"
0x1FC1D2E315CF	"掉转车辆180度。\n在该屏幕正在显示的情况下，可以起动发动机并换档。"
0x1FC1D2E315D0	"当准备就绪时，按屏幕上的ENTER按钮以开始第二次学习步骤。"
0x1FC1D2E315D1	"测试完成"
0x1FC1D2E315D2	"倾斜传感器输：%A"
0x1FC1D2E315D3	"此数值有时会因振动或噪音而发生飘移。"
0x1FC1D2E315D4	"如果您看见一个大于0.8度或小于-0.8度的数值，则请重新尝试一次。"
0x1FC1D2E315D5	"测试已失败"
0x1FC1D2E315D6	"CVT仪表单元"
0x1FC1D2E315D7	"CVT速比"
0x1FC1D2E315D8	"CVT换档档位"
0x1FC1D2E315D9	"CVT档位"
0x1FC1D2E315DA	"变速箱暖机状态"
0x1FC1D2E315DB	"关闭点火开关。"
0x1FC1D2E315DC	"打开点火开关。"
0x1FC1D2E315DD	"换入“P”档。"
0x1FC1D2E315DE	"没有检测到“P”档。"
0x1FC1D2E315DF	"条件不符"
0x1FC1D2E315E0	"补充"
0x1FC1D2E315E1	"为防止散热器风扇运转和增加电气系统的负荷，首先应打开发动机盖。"
0x1FC1D2E315E2	"然后安置一个电风扇，可以将风吹过散热器。"
0x1FC1D2E315E3	"第一步"
0x1FC1D2E315E4	"1 - 踩住制动踏板。"
0x1FC1D2E315E5	"2 - 换入“N”档"
0x1FC1D2E315E6	"按[确定]键开始学习"
0x1FC1D2E315E7	"存在DTC"
0x1FC1D2E315E8	"按[确定]键开始学习。"
0x1FC1D2E315E9	"冷却水温度处于80℃ - 105℃之间后请学习。"
0x1FC1D2E315EA	"当前ECT传感器数值。"
0x1FC1D2E315EB	"条件"
0x1FC1D2E315EC	"检查条件。"
0x1FC1D2E315ED	"第二步"
0x1FC1D2E315EE	"发动机温度超出范围。"
0x1FC1D2E315EF	"还未检测到发动机转速。"
0x1FC1D2E315F0	"发动机冷却液温度"
0x1FC1D2E315F1	"不能检测到“N”档信号。"
0x1FC1D2E315F2	"测试过程中使用蜂鸣。\n在开始该测试前，使您的PC、深圳富士伟业本田智能诊断程序输入板或便携测试仪可以发出声音。"
0x1FC1D2E315F3	"停止车辆。"
0x1FC1D2E315F4	"发动机熄火。"
0x1FC1D2E315F5	"蓄电池电压超过10.0（V）。"
0x1FC1D2E315F6	"您希望继续吗？"
0x1FC1D2E315F7	"检查确认以下条件都已满足。"
0x1FC1D2E315F8	"转换器默认值"
0x1FC1D2E315F9	"油泵激活"
0x1FC1D2E315FA	"此功能用于激活CVT油泵。"
0x1FC1D2E315FB	"可通过这些按钮打开和关闭CVT油泵。"
0x1FC1D2E315FC	"蓄电池电压：%V"
0x1FC1D2E315FD	"CVT油泵"
0x1FC1D2E315FE	"关闭"
0x1FC1D2E315FF	"打开"
0x1FC1D2E31600	"电动机油泵完成状态"
0x1FC1D2E31601	"不良"
0x1FC1D2E31602	"良好"
0x1FC1D2E31603	"关闭泵"
0x1FC1D2E31604	"打开泵"
0x1FC1D2E31605	"检查是否满足下列条件，请再试一次。"
0x1FC1D2E31606	"无故障"
0x1FC1D2E31607	"ATF温度过低"
0x1FC1D2E31608	"ATF温度过高"
0x1FC1D2E31609	"发动机转速过低"
0x1FC1D2E3160A	"发动机转速过高"
0x1FC1D2E3160B	"油门踏板位置不当"
0x1FC1D2E3160C	"车速不为“0”km/h"
0x1FC1D2E3160D	"车速过低"
0x1FC1D2E3160E	"车速过高"
0x1FC1D2E3160F	"制动开关关闭"
0x1FC1D2E31610	"制动开关打开"
0x1FC1D2E31611	"换档档位错误"
0x1FC1D2E31612	"发动机运行"
0x1FC1D2E31613	"控制参数超出范围"
0x1FC1D2E31614	"换档请求不连续"
0x1FC1D2E31615	"变速箱齿轮过低"
0x1FC1D2E31616	"处于手动换档模式"
0x1FC1D2E31617	"发动机冷却液温度过低"
0x1FC1D2E31618	"发动机冷却液温度过高"
0x1FC1D2E31619	"速率比过低"
0x1FC1D2E3161A	"选择器位置不在“P”档"
0x1FC1D2E3161B	"选择器位置不在“N”档"
0x1FC1D2E3161C	"选择器位置不在“D5”档"
0x1FC1D2E3161D	"选择器位置不在“L”档"
0x1FC1D2E3161E	"某些DTC处于激活状态"
0x1FC1D2E3161F	"无主轴转速传感器信号"
0x1FC1D2E31620	"第2档机油压力开关故障"
0x1FC1D2E31621	"第3档机油压力开关故障"
0x1FC1D2E31622	"第4档机油压力开关故障"
0x1FC1D2E31623	"选择器位置不在“D”档"
0x1FC1D2E31624	"第6档机油压力开关故障"
0x1FC1D2E31625	"SDA处于激活状态"
0x1FC1D2E31626	"根据发动机控制要求而中断"
0x1FC1D2E31627	"压力控制电磁线圈测试正在进行"
0x1FC1D2E31628	"不是正确的控制模式"
0x1FC1D2E31629	"传感器信号过高"
0x1FC1D2E3162A	"传感器信号过低"
0x1FC1D2E3162B	"传感器信号的振幅太大"
0x1FC1D2E3162C	"IMA（集成马达辅助）蓄电池输出限制"
0x1FC1D2E3162D	"不明确的故障"
0x1FC1D2E3162E	"操作已成功。"
0x1FC1D2E3162F	"CVT转速传感器"
0x1FC1D2E31630	"CVT速度传感器"
0x1FC1D2E31631	"CVT速度传感器2"
0x1FC1D2E31632	"液力变扭器"
0x1FC1D2E31633	"左前轮速度"
0x1FC1D2E31634	"左后轮速度"
0x1FC1D2E31635	"右前轮速度"
0x1FC1D2E31636	"右后轮速度"
0x1FC1D2E31637	"如果发动机运转，您必须循环打开和关闭点火开关，以重新建立通信。"
0x1FC1D2E31638	"1缸速度"
0x1FC1D2E31639	"2缸速度"
0x1FC1D2E3163A	"3缸速度"
0x1FC1D2E3163B	"4缸速度"
0x1FC1D2E3163C	"气缸1缺火"
0x1FC1D2E3163D	"气缸1 B型缺火"
0x1FC1D2E3163E	"气缸2缺火"
0x1FC1D2E3163F	"气缸2 B型缺火"
0x1FC1D2E31640	"气缸3缺火"
0x1FC1D2E31641	"气缸3 B型缺火"
0x1FC1D2E31642	"气缸4缺火"
0x1FC1D2E31643	"气缸4 B型缺火"
0x1FC1D2E31644	"气缸5缺火"
0x1FC1D2E31645	"气缸5 B型缺火"
0x1FC1D2E31646	"气缸6缺火"
0x1FC1D2E31647	"气缸6 B型缺火"
0x1FC1D2E31648	"气缸平衡量"
0x1FC1D2E31649	"CYP传感器"
0x1FC1D2E3164A	"CYP传感器1"
0x1FC1D2E3164B	"CYP传感器2"
0x1FC1D2E3164C	"来自F1的油门踏板传感器1输出"
0x1FC1D2E3164D	"来自F1的油门踏板传感器2输出"
0x1FC1D2E3164E	"加速踏板位置"
0x1FC1D2E3164F	"C"
0x1FC1D2E31650	"来自VSA的左前轮转速传感器输出"
0x1FC1D2E31651	"左前车轮转速传感器"
0x1FC1D2E31652	"来自VSA的右前轮转速传感器输出"
0x1FC1D2E31653	"右前车轮转速传感器"
0x1FC1D2E31654	"水平角度"
0x1FC1D2E31655	"垂直角度"
0x1FC1D2E31656	"来自侧滑/G传感器的纵向加速度"
0x1FC1D2E31657	"发动机转速"
0x1FC1D2E31658	"来自VSA的主缸压力传感器输出"
0x1FC1D2E31659	"来自VSA的左后轮转速传感器输出"
0x1FC1D2E3165A	"左后车轮转速传感器"
0x1FC1D2E3165B	"来自VSA的右后轮转速传感器输出"
0x1FC1D2E3165C	"右后轮转速传感器"
0x1FC1D2E3165D	"凸轮轴转速"
0x1FC1D2E3165E	"副轴转速（RPM）"
0x1FC1D2E3165F	"C轴转速"
0x1FC1D2E31660	"来自AT的换档档位开关状态"
0x1FC1D2E31661	"C速度传感器"
0x1FC1D2E31662	"车速（左前轮速度）"
0x1FC1D2E31663	"车速（右前轮速度）"
0x1FC1D2E31664	"车速（右后轮速度）"
0x1FC1D2E31665	"舱室前部"
0x1FC1D2E31666	"舱室中部"
0x1FC1D2E31667	"舱室后部"
0x1FC1D2E31668	"舱室后部托盘"
0x1FC1D2E31669	"无法计算"
0x1FC1D2E3166A	"校正失效。"
0x1FC1D2E3166B	"校正完成"
0x1FC1D2E3166C	"校正数据清除"
0x1FC1D2E3166D	"校正失败"
0x1FC1D2E3166E	"取消"
0x1FC1D2E3166F	"取消"
0x1FC1D2E31670	"能力确定测试"
0x1FC1D2E31671	"行李舱灯"
0x1FC1D2E31672	"CAS电磁阀A（右前）"
0x1FC1D2E31673	"CAS电磁阀B（左前）"
0x1FC1D2E31674	"警告"
0x1FC1D2E31675	"警告！"
0x1FC1D2E31676	"警告"
0x1FC1D2E31677	"中央面板单元"
0x1FC1D2E31678	"中心点设定"
0x1FC1D2E31679	"VSA传感器中性位置记忆"
0x1FC1D2E3167A	"更换接口模块"
0x1FC1D2E3167B	"当%s应用程序正和车辆通信时，不能更换接口模块。在更换Interface Device前请终止应用程序。"
0x1FC1D2E3167C	"更换接口模块将导致所有正在运行的应用程序停止运行并重新起动。按[确定]键以确认此改变。"
0x1FC1D2E3167D	"当%s应用程序正与车辆通信时，不能改变连接管理器自动运行设置。在改变设置前请先终止应用程序。"
0x1FC1D2E3167E	"改变语言"
0x1FC1D2E3167F	"当%s应用程序与车辆通信时，不能改变语言。在改变语言前请先终止应用程序。"
0x1FC1D2E31680	"改变语言将导致正在运行的应用程序停止并重新起动。按[确定]键以确认此改变。"
0x1FC1D2E31681	"当%s应用程序正和车辆通信时，市场不能被改变。在改变市场前请终止应用程序。"
0x1FC1D2E31682	"改变市场将导致所有正在运行的应用程序停止运行并重新起动。按[确定]键以确认此改变。"
0x1FC1D2E31683	"%s应用程序正与车辆通信。在选择一个不同的系统之前，请终止它。"
0x1FC1D2E31684	"充电"
0x1FC1D2E31685	"给蓄电池充电"
0x1FC1D2E31686	"充电系统指示器"
0x1FC1D2E31687	"该模式检查充电系统指示灯的点亮情况。\n检测仪将指令仪表单元使该灯亮起。\n发动机一定在运行。这是因为钥匙打开且发动机不运行时，指示器是常亮的。"
0x1FC1D2E31688	"充电"
0x1FC1D2E31689	"该经销商号码不正确。请输入正确的号码数字。"
0x1FC1D2E3168A	"检查车辆的DLC电缆或车辆是否有该系统。"
0x1FC1D2E3168B	"如果GNA600具有插入的无线卡，则请关闭其电源并取出无线卡。现在确保检测仪连接到GNA600并且GNA600接通电源。"
0x1FC1D2E3168C	" 确保检测仪连接到接口模块并且接口模块接通电源。"
0x1FC1D2E3168D	"请确保检测仪已经与车辆连接且点火开关已打开"
0x1FC1D2E3168E	"请确认深圳富士伟业本田智能诊断程序便携测试仪和车辆DLC之间的电线已正确连接。"
0x1FC1D2E3168F	"2. 检查诊断检测仪和车辆DLC之间的电缆。"
0x1FC1D2E31690	"此检查将需要数秒钟。"
0x1FC1D2E31691	"2. 检查PC机运行深圳富士伟业本田智能诊断程序、接口模块和车辆DLC之间的电缆。"
0x1FC1D2E31692	"该经销商号码不正确。请输入一个以2开头的经销商号码。"
0x1FC1D2E31693	"该VIN不正确。请重新检查VIN"
0x1FC1D2E31694	"检查"
0x1FC1D2E31695	"已检查"
0x1FC1D2E31696	"检查条件"
0x1FC1D2E31697	"检查在脉冲发生器上有无异物。"
0x1FC1D2E31698	"检查与怠速相关的项目是否正常"
0x1FC1D2E31699	"检查并确认前排乘客座椅上没有放置东西。"
0x1FC1D2E3169A	"检查前排乘客座椅是否干燥。"
0x1FC1D2E3169B	"该项检查在您检查SWS（座椅承重传感器）计算的数值时使用"
0x1FC1D2E3169C	"检查条件"
0x1FC1D2E3169D	"电路断路故障"
0x1FC1D2E3169E	"电路断路"
0x1FC1D2E3169F		"本田思域(CIVIC HPDSC)"
0x1FC1D2E316A0		"东风本田思域旅行版(CIVIC TOURER)"
0x1FC1D2E316A1	"曲轴（CKP）传感器匹配值学习"
0x1FC1D2E316A2	"按[确定]键，清除所有车身电气DTC。"
0x1FC1D2E316A3	"单击[YES]（确认）以清除DTC和来自%s的数据。"
0x1FC1D2E316A4	"正在清除DTC，请稍候"
0x1FC1D2E316A5	"清除失效"
0x1FC1D2E316A6	"清除历史数据"
0x1FC1D2E316A7	"按[确定]键以清除历史数据"
0x1FC1D2E316A8	"清除/重新设置未允许"
0x1FC1D2E316A9	"清除不可用。"
0x1FC1D2E316AA	"单击[YES]（确认）以清除预备码、DTC和来自%s的数据。"
0x1FC1D2E316AB	"暖气检查"
0x1FC1D2E316AC	"HVAC/空调控制器模式菜单"
0x1FC1D2E316AD	" 空调控制装置自测试"
0x1FC1D2E316AE	"空调控制装置/HVAC控制单元"
0x1FC1D2E316AF	"关闭"
0x1FC1D2E316B0	"关闭反应"
0x1FC1D2E316B1	"关闭并锁上所有门"
0x1FC1D2E316B2	"关闭"
0x1FC1D2E316B3	"关闭"
0x1FC1D2E316B4	"您希望清除历史数据吗？"
0x1FC1D2E316B5	"这些条件超出O2S控制的范围。"
0x1FC1D2E316B6	"方向盘对中"
0x1FC1D2E316B7	"计数器数值与目标值不相等。"
0x1FC1D2E316B8	"运行状态"
0x1FC1D2E316B9	"最终要求的扭矩"
0x1FC1D2E316BA	"该测试检查转向柱电机的驱动。"
0x1FC1D2E316BB	"转向柱电机"
0x1FC1D2E316BC	"组合开关单元"
0x1FC1D2E316BD	"[车内]舱室前部天线驱动"
0x1FC1D2E316BE	"[车内]舱室中部天线驱动"
0x1FC1D2E316BF	"[车内]舱室后部天线驱动"
0x1FC1D2E316C0	"[车内]舱室后部托盘天线驱动"
0x1FC1D2E316C1	"[车外]驾驶员（车门）天线驱动"
0x1FC1D2E316C2	"[车外]前排乘客（车门）天线驱动"
0x1FC1D2E316C3	"[车外]驾驶员侧后（车门）天线驱动"
0x1FC1D2E316C4	"[车外]前排乘客侧后（车门）天线驱动"
0x1FC1D2E316C5	"[车外]驾驶员侧车窗天线驱动"
0x1FC1D2E316C6	"[车外]前排乘客侧车窗天线驱动"
0x1FC1D2E316C7	"[车内]行李箱/后搁板天线驱动"
0x1FC1D2E316C8	"[车外]行李箱/尾门/后保险杠天线驱动"
0x1FC1D2E316C9	"指令角度"
0x1FC1D2E316CA	"指令状态"
0x1FC1D2E316CB	"通信接口"
0x1FC1D2E316CC	"通信故障"
0x1FC1D2E316CD	"通信检查"
0x1FC1D2E316CE	"完成"
0x1FC1D2E316CF	"完成"
0x1FC1D2E316D0	"完成"
0x1FC1D2E316D1	"已完成"
0x1FC1D2E316D2	"已完成"
0x1FC1D2E316D3	"完成"
0x1FC1D2E316D4	"完成"
0x1FC1D2E316D5	"完成"
0x1FC1D2E316D6	"完成"
0x1FC1D2E316D7	"压缩测试"
0x1FC1D2E316D8	"条件检查"
0x1FC1D2E316D9	"条件检查"
0x1FC1D2E316DA	"确认"
0x1FC1D2E316DB	"确认"
0x1FC1D2E316DC	"按[确定]键以重新设置%s。"
0x1FC1D2E316DD	"您确定您想要改变车辆吗？"
0x1FC1D2E316DE	"按[确定]键，从%s清除DTC和数据"
0x1FC1D2E316DF	"按[确定]键，清除曲轴传感器匹配值"
0x1FC1D2E316E0	"您确实想要退出吗？"
0x1FC1D2E316E1	"把蓄电池电缆连接到PTU和车辆蓄电池上"
0x1FC1D2E316E2	"找到%d针脚DLC位置并连接"
0x1FC1D2E316E3	" 检查连接的控制单元"
0x1FC1D2E316E4	"与ECU连接故障"
0x1FC1D2E316E5	"在DTC限定模式中继续"
0x1FC1D2E316E6	"在限定模式中继续"
0x1FC1D2E316E7	"离合器信号"
0x1FC1D2E316E8	"离合器信号原始值"
0x1FC1D2E316E9	"发动机冷却液温度必须低于%D"
0x1FC1D2E316EA	"自动调平调整电机"
0x1FC1D2E316EB	"调整VSA-HU状态"
0x1FC1D2E316EC	" 国家："
0x1FC1D2E316ED	"巡航控制设定主开关"
0x1FC1D2E316EE	"巡航控制恢复开关"
0x1FC1D2E316EF	"巡航控制设定开关"
0x1FC1D2E316F0	"用起动机连续转动发动机"
0x1FC1D2E316F1	"曲轴传感器匹配值"
0x1FC1D2E316F2	" 曲轴（CKP）传感器匹配值"
0x1FC1D2E316F3	"清除曲轴传感器匹配值"
0x1FC1D2E316F4	"曲轴传感器匹配值已清除"
0x1FC1D2E316F5	" 曲轴（CKP）传感器匹配值学习"
0x1FC1D2E316F6	"曲轴传感器匹配值菜单"
0x1FC1D2E316F7	"校正数量"
0x1FC1D2E316F8	"该模式检查巡航控制激活指示器的点亮情况。\n检测仪将指令仪表单元使该灯亮起。"
0x1FC1D2E316F9	"巡航控制指示器"
0x1FC1D2E316FA	"该模式检查巡航主开关灯的点亮情况。\n检测仪将指令仪表单元使该灯亮起。"
0x1FC1D2E316FB	"巡航控制主开关指示器"
0x1FC1D2E316FC	"P档控制电磁阀的控制"
0x1FC1D2E316FD	"当前DTC"
0x1FC1D2E316FE	"SWS（座椅承重传感器）输出电流：%m"
0x1FC1D2E316FF	"SWS（座椅承重传感器）输出电流：%s"
0x1FC1D2E31700	"该测试失败。检查系统是否正常，并再次尝试。"
0x1FC1D2E31701	"自定义"
0x1FC1D2E31702	" 自定义"
0x1FC1D2E31703	" 自定义"
0x1FC1D2E31704	"自定义数据已重新设置"
0x1FC1D2E31705	"自定义的重新设置"
0x1FC1D2E31706	" 自定义的重新设置"
0x1FC1D2E31707	"关闭"
0x1FC1D2E31708	"当ECU不调整燃油量时的气缸平均速度"
0x1FC1D2E31709	"D"
0x1FC1D2E3170A	"D"
0x1FC1D2E3170B	"直流禁止器"
0x1FC1D2E3170C	"直流温度"
0x1FC1D2E3170D	"D/C控制"
0x1FC1D2E3170E	"D/C控制电压"
0x1FC1D2E3170F	"D3"
0x1FC1D2E31710	"A/T D3档位开关（按钮）"
0x1FC1D2E31711	"A/T D3档位开关（选择杆）"
0x1FC1D2E31712	"D3档指示器"
0x1FC1D2E31713	"D3档指示器"
0x1FC1D2E31714	"D3档位开关"
0x1FC1D2E31715	"D3档位开关"
0x1FC1D2E31716	"D4"
0x1FC1D2E31717	"D4/D5/D档指示器"
0x1FC1D2E31718	"A/T D4开关（按钮）"
0x1FC1D2E31719	"D4档指示器"
0x1FC1D2E3171A	"D4档指示器"
0x1FC1D2E3171B	"D5"
0x1FC1D2E3171C	"D5档指示器"
0x1FC1D2E3171D	"输入ACGF占空比输出值"
0x1FC1D2E3171E	"至ACG励磁线圈的输出占空比"
0x1FC1D2E3171F	"至ACG励磁线圈的输出占空比"
0x1FC1D2E31720	"DACGF"
0x1FC1D2E31721	"DACPR"
0x1FC1D2E31722	"DACRPCL"
0x1FC1D2E31723	"DACRPOP"
0x1FC1D2E31724	"AF加热器"
0x1FC1D2E31725	"DAMMY"
0x1FC1D2E31726	"减振器继电器"
0x1FC1D2E31727	"阻尼控制"
0x1FC1D2E31728	"DAMP_ADJ"
0x1FC1D2E31729	"丹麦语"
0x1FC1D2E3172A	"ACC自动取消记录最新数量"
0x1FC1D2E3172B	"ACC自动取消历史记录最新编号"
0x1FC1D2E3172C	"数据链接"
0x1FC1D2E3172D	"数据表"
0x1FC1D2E3172E	"日间行驶灯-欧洲"
0x1FC1D2E3172F	"日间照明故障"
0x1FC1D2E31730	"日间照明控制继电器指令（加拿大）"
0x1FC1D2E31731	"适合北欧的日间照明控制"
0x1FC1D2E31732	"日间照明控制信号（加拿大）"
0x1FC1D2E31733	"日间照明灯（加拿大）：工作15秒钟。"
0x1FC1D2E31734	"日间照明灯（欧洲）：工作15秒钟。"
0x1FC1D2E31735	"DRL传感器"
0x1FC1D2E31736	"SCS检查"
0x1FC1D2E31737	"测试中断"
0x1FC1D2E31738	"发动机暖车直至冷却水温升至80℃以上"
0x1FC1D2E31739	"冷却液温度：%D"
0x1FC1D2E3173A	"达到发动机温度水平"
0x1FC1D2E3173B	"暖车"
0x1FC1D2E3173C	"将SCS维修插头穿过SCS插头连接"
0x1FC1D2E3173D	"是否将SCS维修插头穿过SCS插头连接？"
0x1FC1D2E3173E	"SCS插头线路故障"
0x1FC1D2E3173F	"检查线束"
0x1FC1D2E31740	"关闭所有电气装置"
0x1FC1D2E31741	"不要踩下油门踏板"
0x1FC1D2E31742	"起动发动机"
0x1FC1D2E31743	"通过旋转怠速调整螺丝调整怠速"
0x1FC1D2E31744	"怠速："
0x1FC1D2E31745	"发动机转速"
0x1FC1D2E31746	"550 - 650[RPM]"
0x1FC1D2E31747	"P档或N档"
0x1FC1D2E31748	"怠速调整"
0x1FC1D2E31749	"是否想结束怠速调整？"
0x1FC1D2E3174A	"从SCS插头断开SCS维修插头"
0x1FC1D2E3174B	"打开点火开关。"
0x1FC1D2E3174C	"关闭点火开关"
0x1FC1D2E3174D	"打开点火开关"
0x1FC1D2E3174E	"发动机转速：%r"
0x1FC1D2E3174F	"排除SCS线短路"
0x1FC1D2E31750	"涡轮增压器增压控制电磁阀负荷"
0x1FC1D2E31751	"节气门测试"
0x1FC1D2E31752	"节气门自动启动"
0x1FC1D2E31753	"按[确定]键启动测试"
0x1FC1D2E31754	"正在测试中"
0x1FC1D2E31755	"测试步骤：%d"
0x1FC1D2E31756	"目标TP %d"
0x1FC1D2E31757	"监控器TP %d"
0x1FC1D2E31758	"测试完成"
0x1FC1D2E31759	"步骤"
0x1FC1D2E3175A	"向上"
0x1FC1D2E3175B	"向下"
0x1FC1D2E3175C	"间歇"
0x1FC1D2E3175D	"节气门体检查"
0x1FC1D2E3175E	"从节气门体上拆下气流管"
0x1FC1D2E3175F	"清洗节气门和轴"
0x1FC1D2E31760	"重新连接气流管，然后重新测试"
0x1FC1D2E31761	"测试结果"
0x1FC1D2E31762	"系统功能正常"
0x1FC1D2E31763	"未发现故障"
0x1FC1D2E31764	"节气门开启/关闭测试"
0x1FC1D2E31765	"DBW节气门测试摘要"
0x1FC1D2E31766	"关闭点火开关"
0x1FC1D2E31767	"打开点火开关"
0x1FC1D2E31768	"爱克电子式驾驶控制系统(DBW)"
0x1FC1D2E31769	"爱克电子式驾驶控制系统(DBW)"
0x1FC1D2E3176A	"CPCV目标位置"
0x1FC1D2E3176B	"HUMBP目标位置"
0x1FC1D2E3176C	"阴极输入端密封阀目标位置"
0x1FC1D2E3176D	"阴极输出端密封阀目标位置"
0x1FC1D2E3176E	"CPCV占空比（最终输出）"
0x1FC1D2E3176F	"HUMBP占空比（最终输出）"
0x1FC1D2E31770	"阴极输入端密封阀占空比（最终输出）"
0x1FC1D2E31771	"阴极输出端密封阀占空比（最终输出）"
0x1FC1D2E31772	"DBWLRNOK"
0x1FC1D2E31773	"DBW重新设置已失效"
0x1FC1D2E31774	"TAC（节气门自动控制）系统"
0x1FC1D2E31775	"DC-DC转换器信息（CST输出）"
0x1FC1D2E31776	"DC-DC转换器CST故障"
0x1FC1D2E31777	"DC-DC转换器输入错误1"
0x1FC1D2E31778	"DC-DC转换器输入错误2"
0x1FC1D2E31779	"DC-DC转换器内部错误"
0x1FC1D2E3177A	"DC-DC转换器输出错误1"
0x1FC1D2E3177B	"DC-DC转换器输出错误2"
0x1FC1D2E3177C	"DC-DC转换器单元状态"
0x1FC1D2E3177D	"DCAM"
0x1FC1D2E3177E	"凸轮轴位置A无脉冲，缸组2"
0x1FC1D2E3177F	"DCAVEVSP1"
0x1FC1D2E31780	"DCAVEVSP2"
0x1FC1D2E31781	"DCAVEVSP3"
0x1FC1D2E31782	"DCAVEVSP4"
0x1FC1D2E31783	"DCAVEVSP5"
0x1FC1D2E31784	"CKP无脉冲"
0x1FC1D2E31785	"DC-DC转换器停止的历史"
0x1FC1D2E31786	"DC-DC转换器停止2的历史记录"
0x1FC1D2E31787	"DC-DC转换器停止2的历史记录"
0x1FC1D2E31788	"DC-DC转换器停止2的历史记录"
0x1FC1D2E31789	"DC-DC转换器停止2的历史记录"
0x1FC1D2E3178A	"DC-DC转换器停止2的历史记录"
0x1FC1D2E3178B	"DC-DC转换器停止2的历史记录"
0x1FC1D2E3178C	"D.C转换器停止2历史"
0x1FC1D2E3178D	"DC-DC转换器停止2的历史记录"
0x1FC1D2E3178E	"D.C转换器停止历史"
0x1FC1D2E3178F	"DC-DC转换器停止的历史"
0x1FC1D2E31790	"DC-DC转换器增压电压"
0x1FC1D2E31791	"DC-DC转换器增压故障"
0x1FC1D2E31792	"DC-DC转换器CST故障"
0x1FC1D2E31793	"DCDCHISTCST"
0x1FC1D2E31794	"DC-DC转换器输入故障1"
0x1FC1D2E31795	"DC-DC转换器输入故障2"
0x1FC1D2E31796	"DC-DC转换器内部故障"
0x1FC1D2E31797	"DCDCMODE"
0x1FC1D2E31798	"DC-DC转换器输出故障1"
0x1FC1D2E31799	"DC-DC转换器输出故障2"
0x1FC1D2E3179A	"DCDCTWARN1"
0x1FC1D2E3179B	"DCDCTWARN2"
0x1FC1D2E3179C	"DC-DC转换器单元状态"
0x1FC1D2E3179D	"DCHRGREQ"
0x1FC1D2E3179E	"将油门踏板踩到底，直到发动机进入燃油切断状态。"
0x1FC1D2E3179F	"将踏板保持踩住约10秒。"
0x1FC1D2E317A0	"学习请求已被车辆取消。\n“曲轴（CKP）模式清除”后"
0x1FC1D2E317A1	"在点火开关关闭15秒后。请再次尝试。"
0x1FC1D2E317A2	"完全释放油门踏板。"
0x1FC1D2E317A3	"不要把您的脚放在踏板上。"
0x1FC1D2E317A4	"CKP模式学习已完成。"
0x1FC1D2E317A5	"低压EGR执行器占空比"
0x1FC1D2E317A6	"EGR（废气再循环）阀执行器控制占空比"
0x1FC1D2E317A7	"IMRC（进气歧管通道控制）执行器控制占空比"
0x1FC1D2E317A8	"Deviation of High Pressure Cooled-EGR valve control Positio"
0x1FC1D2E317A9	"Target of High Pressure Cooled-EGR Valve Angle ratio"
0x1FC1D2E317AA	"High Pressure Cooled-EGR Valve Position"
0x1FC1D2E317AB	"Output duty of DC motor High Pressure Cooled-EGR"
0x1FC1D2E317AC	"低压EGR阀位置差值"
0x1FC1D2E317AD	"低压EGR阀目标位置"
0x1FC1D2E317AE	"低压EGR阀位置"
0x1FC1D2E317AF	"EGR（废气再循环）阀执行器位置偏差"
0x1FC1D2E317B0	"EGR（废气再循环）阀执行器位置目标"
0x1FC1D2E317B1	"直流电监控器EGR（废气再循环）阀的位置"
0x1FC1D2E317B2	"DCNT"
0x1FC1D2E317B3	"转向角"
0x1FC1D2E317B4	"DCOVRALGRD1"
0x1FC1D2E317B5	"DCOVRALGRD2"
0x1FC1D2E317B6	"DCOVRALGRD3"
0x1FC1D2E317B7	"DCOVRALGRD4"
0x1FC1D2E317B8	"DCOVRALGRD5"
0x1FC1D2E317B9	"舱室前部天线线路直流输出"
0x1FC1D2E317BA	"舱室中部天线线路直流输出"
0x1FC1D2E317BB	"舱室后部天线线路直流输出"
0x1FC1D2E317BC	"舱室后部托盘天线线路直流输出"
